index;prenom;nom;age;numero_etudiant
1;Amaliane;MAILLARD ;68;55801962
2;Emmanuel;HERVE ;73;40729334
3;Danièle;DEJEAN ;100;83914603
4;Adalard;TAVERNIER ;19;12916958
5;Claude;GAUTIER ;70;37711694
6;Emilie;BOULARD ;32;75867832
7;Raoul;CONTE ;99;81106036
8;Marc;JAOUEN ;53;27868630
9;Mahaut;BONNIN ;64;87218403
10;Béatrix;MAILLET ;66;95577942
11;Astérie;BARBIER ;69;93410004
12;Xavier;COUDERT ;59;81606658
13;Mamert;MAUREL ;98;63710920
14;Eloïse;PINEAU ;58;83877329
15;Aglaé;GARREAU ;26;88881075
16;Julien;SIMONNET ;30;79427717
17;Georges;CLERC ;81;76849126
18;Cyriaque;NGUYEN ;94;53540324
19;Anastase;FLAMENT ;31;45179818
20;Ernest;WEISS ;93;75576002
21;Gwladys;DUPUIS ;49;45249948
22;Dannick;BILLON ;55;30346773
23;Camille;LACOSTE ;56;53268291
24;Marceline;PICHOT ;46;60227239
25;Anaël;SAULNIER ;68;74602715
26;Victoria;FEVRIER ;62;58104543
27;Vanessa;WEBER ;53;92524322
28;Apollinaire;MAILLOT ;55;11331393
29;Timoléon;HOAREAU ;59;65731758
30;Agneflète;BARDIN ;85;75128506
31;Adèle;CHAUVET ;58;91551790
32;Salomé;RAYNAUD ;30;8103567
33;Armeline;JANIN ;44;39785915
34;William;CLAIN ;27;69372797
35;Audran;MARCEL ;33;27621022
36;Marcelin;VINCENT ;50;73068498
37;Irène;DUPIN ;22;20691226
38;Barthélemy;LE GOFF ;99;14674268
39;Ambroisine;PINEL ;95;29565677
40;Aymond;BRESSON ;20;42723488
41;Aminte;BUREL ;49;35705095
42;Yannick;SIMONNET ;83;32499072
43;Alexis;BARDIN ;60;73773383
44;Antide;MAYER ;89;48392292
45;Raphaël;CONAN ;36;76305534
46;Anatole;BRUNEL ;91;76359975
47;Gustave;JOSEPH ;70;4514722
48;Aloïs;CHARLES ;75;3921469
49;Michel;RIVET ;64;67564697
50;Adrehilde;BLIN ;29;77742443
51;Nadia;PORTIER ;92;87414455
52;Vital;PRAT ;63;76752156
53;France;VERGER ;65;41643341
54;Joëlle;GODIN ;19;3118250
55;Gerberge;DELCROIX ;63;97254946
56;Coralie;GRANIER ;97;16772633
57;Turold;PONCET ;51;55253625
58;Lilou;REBOUL ;19;11819812
59;Lionel;CHABERT ;59;1028636
60;Elsa;BOURGOIN ;70;32365231
61;Fabrice;MARTEL ;41;83933387
62;Léonne.;CALVET ;68;18199324
63;Jérémie;MEUNIER ;37;13380299
64;Archibald;PRUNIER ;76;33578061
65;Amédée;DUCROCQ ;79;80045672
